COUNTRY_NAME,YEAR,SUM(F.GNI*F.POPULATION_COUNT)
SouthAfrica,1990,435000000000
SouthAfrica,1993,429000000000
SouthAfrica,2009,662000000000
Finland,1991,161000000000
Finland,1996,174000000000
Czechia,1993,206000000000
Finland,2004,238000000000
Belgium,1992,386000000000
Czechia,2001,257000000000
Finland,2018,267000000000
Australia,1995,581000000000
Belgium,1998,438000000000
Australia,1997,635000000000
Australia,2001,740000000000
Australia,2002,762000000000
Czechia,2013,328000000000
Czechia,2019,411000000000
France,1997,2190000000000
Denmark,1991,187000000000
Denmark,1992,193000000000
Canada,1991,873000000000
Denmark,1996,219000000000
Denmark,1997,226000000000
Denmark,1998,232000000000
France,2011,2820000000000
France,2012,2810000000000
Canada,1992,876000000000
Canada,1996,992000000000
Denmark,2004,265000000000
Denmark,2006,287000000000
Denmark,2007,286000000000
France,2016,2990000000000
France,2018,3100000000000
Austria,1998,355000000000
Austria,2006,428000000000
Canada,2008,1540000000000
Denmark,2021,353000000000
Ireland,1993,89100000000
Luxembourg,2003,33200000000
Ireland,2003,175000000000
Japan,2008,5070000000000
Germany,1996,3250000000000
Germany,1999,3420000000000
Ireland,2007,211000000000
Germany,2004,3630000000000
Ireland,2011,188000000000
Japan,2017,5450000000000
Japan,2018,5450000000000
Ireland,2020,337000000000
Germany,2020,4410000000000
Italy,1990,2050000000000
Italy,1993,2080000000000
SouthKorea,1997,930000000000
SouthKorea,2002,1210000000000
Greece,1995,263000000000
Iceland,2004,12100000000
SouthKorea,2010,1710000000000
Greece,2004,362000000000
SouthKorea,2015,1990000000000
Greece,2005,370000000000
Greece,2007,396000000000
Greece,2012,307000000000
Iceland,2019,20900000000
Italy,2014,2380000000000
Portugal,2014,305000000000
Portugal,2016,322000000000
Spain,2021,1820000000000
Netherlands,2011,885000000000
Slovakia,2002,99700000000
Slovakia,2004,107000000000
NewZealand,1992,78000000000
NewZealand,1994,88100000000
NewZealand,1995,92100000000
Slovakia,2011,141000000000
NewZealand,1996,94200000000
Poland,2011,936000000000
Mexico,2006,1930000000000
NewZealand,2015,178000000000
Mexico,2018,2430000000000
Spain,2001,1430000000000
Portugal,1995,247000000000
Spain,2006,1710000000000
Spain,2009,1730000000000
Norway,1998,202000000000
Norway,1999,216000000000
Netherlands,1994,594000000000
Netherlands,1997,669000000000
Sweden,1992,290000000000
Turkey,1995,840000000000
UnitedStates,1992,10200000000000
Brazil,1997,1850000000000
Brazil,2001,1980000000000
Sweden,1996,315000000000
Turkey,2004,1150000000000
Brazil,2008,2630000000000
UnitedStates,2008,16500000000000
Sweden,2008,460000000000
Sweden,2009,436000000000
Turkey,2015,2020000000000
Turkey,2016,2070000000000
Turkey,2018,2290000000000
UnitedStates,2015,19100000000000
UnitedStates,2018,20500000000000
UnitedStates,2021,21500000000000
Bulgaria,1991,93200000000
UnitedKingdom,1996,1860000000000
UnitedKingdom,1999,2130000000000
Bulgaria,2002,98300000000
Argentina,1999,675000000000
Argentina,2004,615000000000
Switzerland,2007,506000000000
UnitedKingdom,2014,2790000000000
Switzerland,2011,544000000000
Switzerland,2013,563000000000
Switzerland,2014,565000000000
UnitedKingdom,2020,2840000000000
Bulgaria,2021,159000000000
Indonesia,1999,1070000000000
Estonia,2000,20000000000
Indonesia,2007,1630000000000
Croatia,1997,81600000000
Chile,1990,124000000000
Croatia,1999,79800000000
Colombia,1998,365000000000
Croatia,2007,110000000000
Croatia,2008,111000000000
Chile,2006,281000000000
Croatia,2016,105000000000
Chile,2008,323000000000
Chile,2013,402000000000
Croatia,2021,117000000000
Chile,2021,483000000000
Colombia,2020,671000000000
India,1997,2250000000000
India,2002,2960000000000
Cyprus,1993,16200000000
Cyprus,1995,17700000000
India,2003,3190000000000
India,2005,3720000000000
India,2006,4020000000000
India,2016,7670000000000
CostaRica,1996,39300000000
CostaRica,2005,57500000000
China,2003,5640000000000
China,2004,6230000000000
China,2005,6920000000000
Cyprus,2018,33500000000
Cyprus,2020,32600000000
China,2013,15200000000000
China,2016,18700000000000
China,2017,20100000000000
RussianFederation,2012,3590000000000
RussianFederation,2016,3640000000000
Latvia,2018,57600000000
Latvia,2019,59400000000
Indonesia,2016,2640000000000
SaudiArabia,1990,698000000000
Lithuania,1994,32000000000
Romania,1993,248000000000
SaudiArabia,1998,861000000000
SaudiArabia,2000,872000000000
Israel,1991,108000000000
Lithuania,1996,35900000000
Lithuania,1998,42300000000
Romania,2000,271000000000
SaudiArabia,2001,864000000000
SaudiArabia,2006,1100000000000
Lithuania,2003,56200000000
Lithuania,2006,71600000000
Romania,2005,348000000000
Romania,2008,443000000000
SaudiArabia,2011,1350000000000
SaudiArabia,2013,1450000000000
Israel,2003,181000000000
Israel,2008,226000000000
Lithuania,2015,85100000000
Lithuania,2017,92000000000
Romania,2014,458000000000
Romania,2015,469000000000
SaudiArabia,2018,1610000000000
Israel,2013,278000000000
Israel,2018,352000000000
Israel,2021,389000000000
Singapore,1993,126000000000
Malta,1999,10000000000
RussianFederation,1990,3170000000000
Singapore,2003,196000000000
Singapore,2005,223000000000
Latvia,1992,26800000000
Latvia,1993,22700000000
Malta,2001,10700000000
Malta,2002,11000000000
Malta,2003,11300000000
RussianFederation,2001,2220000000000
Singapore,2008,259000000000
Singapore,2013,314000000000
Slovenia,2006,65200000000
Slovenia,2007,69400000000
Slovenia,2014,67000000000
SouthAfrica,2001,515000000000
SouthAfrica,2006,620000000000
Finland,1998,199000000000
Finland,2010,247000000000
Finland,2013,244000000000
Australia,1992,525000000000
Belgium,2004,490000000000
Belgium,2009,522000000000
Belgium,2010,529000000000
Czechia,2017,388000000000
Belgium,2014,551000000000
Belgium,2019,601000000000
France,1991,1990000000000
France,1994,2060000000000
France,1996,2130000000000
France,2003,2540000000000
Denmark,1993,194000000000
France,2007,2780000000000
Canada,1994,934000000000
Canada,1999,1110000000000
Denmark,2002,252000000000
Austria,2004,405000000000
Canada,2011,1580000000000
Canada,2013,1650000000000
Japan,1990,4400000000000
Hungary,1992,161000000000
Hungary,1993,165000000000
Japan,1995,4650000000000
Japan,2000,4870000000000
Luxembourg,2001,34900000000
Luxembourg,2007,44700000000
Ireland,1996,109000000000
Japan,2003,4950000000000
Japan,2005,5120000000000
Japan,2006,5170000000000
Japan,2007,5240000000000
Germany,1998,3360000000000
Germany,2001,3540000000000
Japan,2010,5010000000000
Japan,2013,5130000000000
Hungary,2010,236000000000
Germany,2009,3770000000000
Germany,2014,4150000000000
Hungary,2018,290000000000
Hungary,2020,297000000000
Italy,1991,2080000000000
Iceland,1991,8114895049
SouthKorea,2000,1070000000000
SouthKorea,2001,1120000000000
SouthKorea,2003,1250000000000
Greece,1994,259000000000
Iceland,1998,9732133224
Italy,2001,2500000000000
Italy,2004,2560000000000
Greece,1999,290000000000
Iceland,2006,13600000000
Iceland,2009,12100000000
Italy,2010,2520000000000
Greece,2006,386000000000
Iceland,2016,17700000000
Iceland,2017,18500000000
Iceland,2020,19800000000
SouthKorea,2019,2230000000000
Greece,2015,305000000000
Greece,2018,307000000000
Luxembourg,1990,23200000000
Portugal,2013,303000000000
Netherlands,2000,772000000000
Netherlands,2005,804000000000
Norway,2007,317000000000
Portugal,2021,341000000000
Netherlands,2009,853000000000
Norway,2016,339000000000
Norway,2020,337000000000
Luxembourg,2008,42600000000
Luxembourg,2014,46500000000
Luxembourg,2015,42300000000
Netherlands,2020,933000000000
Slovakia,1993,69600000000
Poland,1993,408000000000
Slovakia,2005,115000000000
NewZealand,1990,82100000000
Slovakia,2009,136000000000
Mexico,1995,1310000000000
NewZealand,1999,103000000000
NewZealand,2002,117000000000
Mexico,1999,1640000000000
Mexico,2001,1710000000000
NewZealand,2003,125000000000
Poland,2015,1030000000000
Mexico,2005,1840000000000
Mexico,2007,1970000000000
Mexico,2008,2000000000000
Mexico,2010,2000000000000
Poland,2021,1260000000000
Mexico,2015,2280000000000
Mexico,2016,2330000000000
NewZealand,2018,203000000000
Spain,1998,1260000000000
Spain,2000,1380000000000
Spain,2007,1760000000000
Norway,1993,164000000000
Portugal,2003,307000000000
Spain,2018,1880000000000
Netherlands,1992,563000000000
Norway,2006,312000000000
Portugal,2011,316000000000
Argentina,2021,959000000000
Brazil,1993,1610000000000
Sweden,1991,298000000000
UnitedStates,1990,9850000000000
UnitedStates,1997,12300000000000
Brazil,2005,2260000000000
Sweden,2004,403000000000
Sweden,2006,440000000000
Turkey,2013,1820000000000
UnitedStates,2007,16700000000000
UnitedStates,2010,16800000000000
Brazil,2012,2990000000000
Sweden,2012,471000000000
Sweden,2014,488000000000
Turkey,2020,2360000000000
UnitedStates,2016,19400000000000
Sweden,2017,532000000000
UnitedKingdom,1995,1820000000000
Argentina,1996,626000000000
Switzerland,2001,455000000000
UnitedKingdom,2004,2510000000000
Bulgaria,2010,135000000000
Switzerland,2006,520000000000
Switzerland,2008,482000000000
Argentina,2007,865000000000
Argentina,2008,901000000000
Bulgaria,2012,139000000000
Bulgaria,2016,146000000000
Switzerland,2012,558000000000
Switzerland,2015,583000000000
Switzerland,2018,577000000000
Estonia,2002,23100000000
Indonesia,2008,1740000000000
Indonesia,2009,1820000000000
Croatia,1998,82100000000
Croatia,2003,91300000000
Croatia,2005,100000000000
Estonia,2020,46700000000
Colombia,1999,349000000000
Croatia,2018,114000000000
Chile,2010,337000000000
Colombia,2013,608000000000
Chile,2018,448000000000
India,1993,1740000000000
Cyprus,1994,17100000000
CostaRica,1992,32600000000
India,2010,5200000000000
CostaRica,1994,37000000000
CostaRica,1997,41500000000
CostaRica,2001,48500000000
Cyprus,2003,24300000000
CostaRica,2006,62400000000
Cyprus,2014,27500000000
Cyprus,2015,29000000000
CostaRica,2020,95900000000
Indonesia,1990,762000000000
China,2018,21400000000000
RussianFederation,2005,2800000000000
RussianFederation,2008,3420000000000
RussianFederation,2011,3450000000000
Singapore,2014,331000000000
Latvia,2011,45300000000
Latvia,2012,47300000000
RussianFederation,2013,3640000000000
RussianFederation,2017,3710000000000
Latvia,2021,61800000000
Indonesia,2020,3000000000000
Indonesia,2021,3120000000000
SaudiArabia,1992,813000000000
Romania,1992,245000000000
SaudiArabia,1999,832000000000
Israel,1992,116000000000
Romania,1998,264000000000
SaudiArabia,2002,838000000000
SaudiArabia,2005,1070000000000
SaudiArabia,2007,1120000000000
Romania,2004,328000000000
SaudiArabia,2010,1230000000000
Lithuania,2012,76500000000
Romania,2011,414000000000
SaudiArabia,2019,1630000000000
Israel,2015,308000000000
Romania,2019,570000000000
Malta,1991,7195326323
Singapore,1996,158000000000
Singapore,1997,173000000000
Singapore,1998,167000000000
Malta,1994,8016050884
Singapore,2004,208000000000
RussianFederation,1998,1750000000000
Slovenia,2012,64600000000
Slovenia,2020,77700000000
SouthAfrica,1995,452000000000
SouthAfrica,1997,479000000000
SouthAfrica,2002,520000000000
SouthAfrica,2010,682000000000
SouthAfrica,2011,701000000000
Finland,1995,169000000000
Finland,1997,187000000000
Czechia,1995,223000000000
Finland,2005,241000000000
Finland,2011,250000000000
Belgium,1993,386000000000
Czechia,2003,275000000000
Finland,2012,245000000000
Australia,1993,547000000000
Belgium,1997,429000000000
Belgium,1999,450000000000
Czechia,2004,286000000000
Czechia,2005,301000000000
Australia,1999,695000000000
Belgium,2007,528000000000
Czechia,2011,323000000000
Czechia,2016,368000000000
Belgium,2011,522000000000
Czechia,2020,402000000000
Australia,2013,1050000000000
Australia,2016,1130000000000
France,1998,2280000000000
France,2004,2600000000000
Canada,1990,893000000000
Austria,1991,308000000000
Austria,1993,319000000000
Austria,1995,331000000000
Denmark,2012,289000000000
Canada,2009,1450000000000
Denmark,2019,341000000000
Austria,2008,450000000000
Austria,2009,432000000000
Luxembourg,1993,26300000000
Luxembourg,1999,33000000000
Hungary,1990,190000000000
Japan,1996,4790000000000
Luxembourg,2004,38700000000
Ireland,1997,119000000000
Ireland,1998,130000000000
Germany,2000,3490000000000
Hungary,2002,210000000000
Hungary,2006,243000000000
Germany,2003,3530000000000
Ireland,2013,200000000000
Germany,2015,4260000000000
Germany,2016,4390000000000
Hungary,2016,271000000000
Hungary,2017,277000000000
SouthKorea,1992,637000000000
SouthKorea,1996,878000000000
Iceland,1992,7894548316
Iceland,1993,7988674029
Iceland,1996,8554972188
Italy,1998,2340000000000
Greece,1990,250000000000
Greece,1992,262000000000
Iceland,2000,10700000000
Greece,1998,286000000000
Greece,2000,306000000000
Italy,2007,2650000000000
SouthKorea,2013,1880000000000
SouthKorea,2014,1940000000000
Greece,2011,320000000000
Italy,2018,2540000000000
Italy,2020,2370000000000
Luxembourg,1992,25100000000
Portugal,2019,351000000000
Netherlands,2002,782000000000
Netherlands,2006,851000000000
Norway,2013,347000000000
Netherlands,2008,868000000000
Netherlands,2010,868000000000
Norway,2019,356000000000
Netherlands,2021,982000000000
Luxembourg,2020,50600000000
Luxembourg,2021,54200000000
Slovakia,1990,87100000000
Slovakia,1994,74000000000
Slovakia,1998,91200000000
Slovakia,2008,143000000000
Slovakia,2014,148000000000
Mexico,1991,1280000000000
Slovakia,2017,161000000000
Slovakia,2018,166000000000
Mexico,2000,1720000000000
NewZealand,2004,130000000000
Poland,2010,894000000000
Poland,2014,990000000000
Mexico,2019,2420000000000
Mexico,2021,2310000000000
Portugal,1992,240000000000
Portugal,1996,253000000000
Spain,2004,1590000000000
Norway,1997,205000000000
Portugal,2002,307000000000
Spain,2013,1640000000000
Spain,2014,1660000000000
Spain,2017,1840000000000
Netherlands,1995,619000000000
Portugal,2009,315000000000
Turkey,1990,717000000000
Brazil,1992,1540000000000
Turkey,1996,900000000000
UnitedStates,1995,11200000000000
Brazil,1996,1800000000000
Brazil,1999,1830000000000
Sweden,1998,338000000000
Turkey,2006,1330000000000
UnitedStates,2000,14200000000000
Brazil,2003,2060000000000
Sweden,2000,371000000000
Sweden,2001,375000000000
Turkey,2011,1620000000000
UnitedStates,2006,16600000000000
UnitedStates,2009,16200000000000
Brazil,2015,3010000000000
Brazil,2020,2920000000000
Sweden,2020,542000000000
Sweden,2021,568000000000
Bulgaria,1995,95400000000
Argentina,1992,534000000000
Argentina,1998,699000000000
Bulgaria,2003,103000000000
Bulgaria,2004,109000000000
UnitedKingdom,2005,2580000000000
UnitedKingdom,2007,2660000000000
Argentina,2002,553000000000
Bulgaria,2008,133000000000
Switzerland,2005,506000000000
UnitedKingdom,2009,2530000000000
Argentina,2010,927000000000
Argentina,2013,1010000000000
UnitedKingdom,2017,3020000000000
Argentina,2015,1010000000000
Argentina,2018,976000000000
Bulgaria,2020,153000000000
Estonia,1999,18200000000
Indonesia,1998,1080000000000
Estonia,2001,21300000000
Estonia,2003,25100000000
Indonesia,2010,1950000000000
Croatia,1996,77100000000
Estonia,2010,31700000000
Colombia,1991,278000000000
Colombia,1995,346000000000
Estonia,2015,39900000000
Estonia,2021,50600000000
Chile,1998,225000000000
Chile,2000,233000000000
Colombia,2002,368000000000
Colombia,2004,398000000000
Croatia,2013,100000000000
Colombia,2006,448000000000
Colombia,2008,489000000000
Colombia,2014,640000000000
Colombia,2016,685000000000
Chile,2015,426000000000
Chile,2020,434000000000
India,2001,2840000000000
Cyprus,1992,16000000000
India,2009,4810000000000
India,2017,8280000000000
China,1994,2650000000000
CostaRica,1998,44100000000
CostaRica,1999,45200000000
Cyprus,2010,31300000000
India,2021,9280000000000
China,1998,3700000000000
CostaRica,2015,88600000000
China,2011,13000000000000
China,2021,25000000000000
Indonesia,1997,1280000000000
Singapore,2016,339000000000
Latvia,2010,43800000000
Latvia,2013,48700000000
RussianFederation,2014,3610000000000
Malta,2017,17900000000
SaudiArabia,1993,809000000000
Lithuania,1993,35500000000
Romania,1990,308000000000
SaudiArabia,1995,812000000000
SaudiArabia,2008,1200000000000
Israel,1996,146000000000
Israel,2000,176000000000
Lithuania,2009,73000000000
SaudiArabia,2012,1410000000000
SaudiArabia,2015,1560000000000
Israel,2004,189000000000
Romania,2013,437000000000
SaudiArabia,2016,1580000000000
Lithuania,2020,101000000000
Malta,1993,7721816299
Malta,1995,8440707360
Malta,1997,9116076649
RussianFederation,1995,1960000000000
Singapore,2000,186000000000
Latvia,1997,24800000000
Malta,2005,11400000000
RussianFederation,2004,2640000000000
Singapore,2007,264000000000
Latvia,1999,27700000000
Slovenia,2000,52300000000
Slovenia,2010,67100000000
SouthAfrica,1991,435000000000
SouthAfrica,2012,717000000000
SouthAfrica,2013,735000000000
SouthAfrica,2017,766000000000
SouthAfrica,2021,776000000000
Germany,,120000000000000
Finland,,7200000000000
Belgium,,15800000000000
Czechia,,9540000000000
Australia,,27400000000000
France,,82700000000000
Denmark,,8560000000000
Austria,,12900000000000
Canada,,43500000000000
Hungary,,7180000000000
Ireland,,6050000000000
Luxembourg,,1200000000000
Japan,,159000000000000
SouthKorea,,45400000000000
Iceland,,411000000000
Greece,,9980000000000
Italy,,77000000000000
Portugal,,9480000000000
Netherlands,,25400000000000
Norway,,8770000000000
Slovakia,,3810000000000
Poland,,24600000000000
Mexico,,59300000000000
NewZealand,,4390000000000
Spain,,48500000000000
Sweden,,13400000000000
Turkey,,44700000000000
UnitedStates,,499000000000000
UnitedKingdom,,78200000000000
Switzerland,,15800000000000
Argentina,,24700000000000
Bulgaria,,3790000000000
Indonesia,,55700000000000
Estonia,,952000000000
Colombia,,15200000000000
Chile,,9530000000000
Cyprus,,812000000000
India,,144000000000000
China,,317000000000000
CostaRica,,2030000000000
Malta,,397000000000
RussianFederation,,89800000000000
Latvia,,1330000000000
SaudiArabia,,36300000000000
Lithuania,,2100000000000
Romania,,12000000000000
Israel,,7110000000000
Singapore,,7580000000000
Slovenia,,1710000000000
SouthAfrica,,19300000000000
Brazil,,75400000000000
Croatia,,2640000000000
